taxa	region	state	host	date	year	PEAL
MH018084.1_YFV/Monkey/Brazil/2017/M83_Brazil_Minas_Gerais_Ladainha_Brazil_Callithrix_sp._2017-02-09	Southeast	MG	NHP	09/02/2017	2017	Other
MH018085.1_YFV/Human/Brazil/2017/M94_polyprotein_gene_partial_cds_YFV/Human/Brazil/2017/M94_Brazil_Minas_Gerais_Imbe_de_Minas_Brazil_Human_2017-01-13	Southeast	MG	Human	13/01/2017	2017	Other
MH018086.1_YFV/Human/Brazil/2017/M96_polyprotein_gene_partial_cds_YFV/Human/Brazil/2017/M96_Brazil_Minas_Gerais_Ladainha_Brazil_Human_2017-01-19	Southeast	MG	Human	19/01/2017	2017	Other
MH018087.1_YFV/Human/Brazil/2017/M98_polyprotein_gene_partial_cds_YFV/Human/Brazil/2017/M98_Brazil_Minas_Gerais_Teofilo_Otoni_Brazil_Human_2017-01-10	Southeast	MG	Human	10/01/2017	2017	Other
MH018088.1_YFV/Human/Brazil/2017/M99_polyprotein_gene_partial_cds_YFV/Human/Brazil/2017/M99_Brazil_Minas_Gerais_Teofilo_Otoni_Brazil_Human_2017-01-21	Southeast	MG	Human	21/01/2017	2017	Other
MH018089.1_YFV/Human/Brazil/2017/M100_polyprotein_gene_partial_cds_YFV/Human/Brazil/2017/M100_Brazil_Minas_Gerais_Ladainha_Brazil_Human_2017-01-02	Southeast	MG	Human	02/01/2017	2017	Other
MH018090.1_YFV/Human/Brazil/2017/M105_polyprotein_gene_partial_cds_YFV/Human/Brazil/2017/M105_Brazil_Minas_Gerais_Caratinga_Brazil_Human_2017-01-12	Southeast	MG	Human	12/01/2017	2017	Other
MH018091.1_YFV/Human/Brazil/2017/M107_polyprotein_gene_partial_cds_YFV/Human/Brazil/2017/M107_Brazil_Minas_Gerais_Novo_Cruzeiro_Brazil_Human_2017-01-30	Southeast	MG	Human	30/01/2017	2017	Other
MH018092.1_YFV/Human/Brazil/2017/M123_polyprotein_gene_partial_cds_YFV/Human/Brazil/2017/M123_Brazil_Minas_Gerais_Itambacuri_Brazil_Human_2017-01-27	Southeast	MG	Human	27/01/2017	2017	Other
MH018093.1_YFV/Human/Brazil/2017/M138_polyprotein_gene_partial_cds_YFV/Human/Brazil/2017/M138_Brazil_Minas_Gerais_Santa_Barbara_Leste_Brazil_Human_2017-01-20	Southeast	MG	Human	20/01/2017	2017	Other
MH018094.1_YFV/Human/Brazil/2017/M164_polyprotein_gene_partial_cds_YFV/Human/Brazil/2017/M164_Brazil_Minas_Gerais_Simonesia_Brazil_Human_2017-01-30	Southeast	MG	Human	30/01/2017	2017	Other
MH018095.1_YFV/Monkey/Brazil/2017/M210_Brazil_Minas_Gerais_Sabinopolis_Brazil_Callithrix_sp._2017-01-19	Southeast	MG	NHP	19/01/2017	2017	Other
MH018096.1_YFV/Monkey/Brazil/2017/M211_Brazil_Minas_Gerais_Jose_Raydan_Brazil_Alouatta_sp._2017-01-13	Southeast	MG	NHP	13/01/2017	2017	Other
MH018097.1_YFV/Monkey/Brazil/2017/M216_Brazil_Minas_Gerais_Luisburgo_Brazil_Callicebus_sp._2017-01-25	Southeast	MG	NHP	25/01/2017	2017	Other
MH018098.1_YFV/Monkey/Brazil/2017/M217_Brazil_Minas_Gerais_Chapada_Gaucha_Brazil_Cebidae_2017-01-25	Southeast	MG	NHP	25/01/2017	2017	Other
MH018099.1_YFV/Monkey/Brazil/2017/M218_Brazil_Bahia_Cordeiros_Brazil_Primates_2017-03-10	Northeast	BA	NHP	10/03/2017	2017	Other
MH018102.1_YFV/Monkey/Brazil/2017/438_Brazil_Espirito_Santo_Domingos_Martins_Brazil_Primates_2017-01-31	Southeast	ES	NHP	31/01/2017	2017	Other
MH018103.1_YFV/Human/Brazil/2017/460_polyprotein_gene_partial_cds_YFV/Human/Brazil/2017/460_Brazil_Minas_Gerais_Novo_Cruzeiro_Brazil_Human_2017-01-30	Southeast	MG	Human	30/01/2017	2017	Other
MH018104.1_YFV/Human/Brazil/2017/465_polyprotein_gene_partial_cds_YFV/Human/Brazil/2017/465_Brazil_Minas_Gerais_Itambacuri_Brazil_Human_2017-01-30	Southeast	MG	Human	30/01/2017	2017	Other
MH018105.1_YFV/Human/Brazil/2017/480_polyprotein_gene_partial_cds_YFV/Human/Brazil/2017/480_Brazil_Minas_Gerais_Teofilo_Otoni_Brazil_Human_2017-01-28	Southeast	MG	Human	28/01/2017	2017	Other
MH018106.1_YFV/Monkey/Brazil/2017/532_Brazil_Minas_Gerais_Coronel_Murta_Brazil_Alouatta_sp._2017-01-13	Southeast	MG	NHP	13/01/2017	2017	Other
MH018107.1_YFV/Human/Brazil/2017/1536_polyprotein_gene_partial_cds_YFV/Human/Brazil/2017/1536_Brazil_Espirito_Santo_Vitoria_Brazil_Human_2017-02-22	Southeast	ES	Human	22/02/2017	2017	Other
MH018108.1_YFV/Human/Brazil/2017/1818_polyprotein_gene_partial_cds_YFV/Human/Brazil/2017/1818_Brazil_Espirito_Santo_Cariacica_Brazil_Human_2017-03-10	Southeast	ES	Human	10/03/2017	2017	Other
MH018109.1_YFV/Monkey/Brazil/2017/2109_Brazil_Espirito_Santo_Cariacica_Brazil_Alouatta_sp._2017-03-08	Southeast	ES	NHP	08/03/2017	2017	Other
MH018110.1_YFV/Monkey/Brazil/2017/2115_Brazil_Espirito_Santo_Cariacica_Brazil_Callithrix_sp._2017-03-09	Southeast	ES	NHP	09/03/2017	2017	Other
