ID,LOCATION,ZONE_PEAL,Location,Latitude,Longitude,Date_death,Date_of_identification_or_collection,Date_notification,Stage_decomposition,FINAL_YFV_Result,IHQ_YFV_Result,PCR_YFV_Result,Collection,Transport_institute,Species,STATUS
22,Norte,Uso Público,P10_Comando Pamb,"-234,598,158","-466,361,394",22/12/2017,22/12/2017,22/12/2017,Íntegro (vivo_0 a 2 dias),POSITIVO,Positivo,Positivo,Sim,GCM-DEPAVE,Alouatta guariba clamitans,Sequenced
23,Norte,Vila Amália,Arboreto_Talhão de Pinus,"-234,598,158","-466,361,394",22/12/2017,22/12/2017,22/12/2017,Íntegro (vivo_0 a 2 dias),POSITIVO,Positivo,Positivo,Sim,GCM-DEPAVE,Alouatta guariba clamitans,Sequenced
24,Norte,Sede-IF,P10_Comando Pamb,"-234,598,158","-466,361,394",22/12/2017,22/12/2017,22/12/2017,Íntegro (vivo_0 a 2 dias),POSITIVO,Positivo,Positivo,Não,GCM-DEPAVE,Alouatta guariba clamitans,
25,Norte,Sede-IF,Casa 04,"-234,598,158","-466,361,394",23/12/2017,23/12/2017 ou 24/12/2017,24/12/2017,Íntegro (vivo_0 a 2 dias),POSITIVO,Positivo,Positivo,Sim,PAMB-DEPAVE,Alouatta guariba clamitans,Sequenced
26,Norte,Sede-IF,Dasonomia,"-234,598,158","-466,361,394",23/12/2017,23/12/2017 ou 24/12/2017,24/12/2017,Íntegro (vivo_0 a 2 dias),POSITIVO,Positivo,Positivo,Sim,PAMB-DEPAVE,Alouatta guariba clamitans,Sequenced
27,Norte,Uso Público,P10_Comando Pamb,"-234,598,158","-466,361,394",23/12/2017,23/12/2017 ou 24/12/2017,24/12/2017,Íntegro (vivo_0 a 2 dias),POSITIVO,Positivo,Positivo,Não,PAMB-DEPAVE,Alouatta guariba clamitans,Sequenced
28,Norte,Uso Público,Casa 04,"-234,598,158","-466,361,394",23/12/2017,23/10/2017 ou 24/12/2017,24/10/2017 ou 24/12/2017,Íntegro (vivo_0 a 2 dias),POSITIVO,Positivo,Positivo,Não,PAMB-DEPAVE,Alouatta guariba clamitans,Sequenced
29,Norte,Vila Amália,Vila Amélia_Parada Pinto,"-234,598,158","-466,361,394",25/12/2017,25/12/2017 ou 26/12/2017,26/12/2017,Íntegro (vivo_0 a 2 dias),POSITIVO,Positivo,Positivo,Não,PAMB-DEPAVE,Alouatta guariba clamitans,
30,Norte,Vila Amália,Vila Amélia_Parada Pinto,"-234,598,158","-466,361,394",21/12/2017,25/12/2017 ou 26/12/2017,26/12/2017,Avançado (+5 a 10 dias),NÃO DETERMINADO,Sample_not_sent,Sample_not_sent,Não,Não,Alouatta guariba clamitans,
31,Norte,Vila Amália,Vila Amélia_Parada Pinto,"-234,598,158","-466,361,394",21/12/2017,25/12/2017 ou 26/12/2017,26/12/2017,Avançado (+5 a 10 dias),NÃO DETERMINADO,Sample_not_sent,Sample_not_sent,Não,Não,Alouatta guariba clamitans,
32,Norte,Sede-IF,P10_Comando Pamb,"-234,598,158","-466,361,394",21/12/2017,26/12/2017,26/12/2017,Avançado (+5 a 10 dias),NÃO DETERMINADO,Sample_not_sent,Sample_not_sent,Não,Não,Alouatta guariba clamitans,
33,Norte,Sede-IF,Viveiro,"-234,598,158","-466,361,394",23/12/2017,26/12/2017,26/12/2017,Médio,POSITIVO,Positivo,Positivo,Não,Não,Alouatta guariba clamitans,
34,Norte,Vila Amália,Vila Amélia_Parada Pinto,"-234,598,158","-466,361,394",23/12/2017,26/12/2017,26/12/2017,Médio,POSITIVO,Positivo,Positivo,Não,Não,Alouatta guariba clamitans,Sequenced
35,Norte,Sede-IF,Viveiro,"-234,598,158","-466,361,394",23/12/2017,26/12/2017,26/12/2017,Médio-Avançado,POSITIVO,Positivo,Positivo,Não,Não,Alouatta guariba clamitans,
36,Norte,Sede-IF,Viveiro,"-234,598,158","-466,361,394",23/12/2017,26/12/2017,26/12/2017,Médio-Avançado,POSITIVO,Positivo,Positivo,Não,PAMB-DEPAVE,Alouatta guariba clamitans,
37,Norte,Uso Público,Portão Principal (P04),"-234,598,158","-466,361,394",26/12/2017,26/12/2017,26/12/2017,Vivo,POSITIVO,Positivo,Positivo,Sim,PAMB-DEPAVE,Alouatta guariba clamitans,
38,Norte,Vila Amália,Entre Parada Pinto e Vila Amélia,"-234,598,158","-466,361,394",24/12/2017,27/12/2017,27/12/2017,Íntegro (vivo_0 a 2 dias),POSITIVO,Positivo,Positivo,Sim,PAMB-DEPAVE,Alouatta guariba clamitans,Sequenced
39,Norte,Vila Amália,Entre Parada Pinto e Vila Amélia,"-234,598,158","-466,361,394",22/10/2017,27/12/2017,27/12/2017,Médio-Avançado,POSITIVO,Positivo,Positivo,Não,Não,Alouatta guariba clamitans,Sequenced
40,Norte,Vila Amália,Entre Parada Pinto e Vila Amélia,"-234,598,158","-466,361,394",24/12/2017,27/12/2017,27/12/2017,Médio,POSITIVO,Positivo,Positivo,Não,Não,Alouatta guariba clamitans,Sequenced
41,Norte,Vila Amália,Entre Parada Pinto e Vila Amélia,"-234,598,158","-466,361,394",21/12/2017,27/12/2017,27/12/2017,Avançado,NÃO DETERMINADO,Não tem ou Positivo,Não tem ou Positivo,Não,Não,Alouatta guariba clamitans,
42,Norte,Vila Amália,Entre Parada Pinto e Vila Amélia,"-234,598,158","-466,361,394",24/12/2017,27/12/2017,27/12/2017,Médio,NÃO DETERMINADO,Não tem,Não tem,Sim,PAMB-DEPAVE,Alouatta guariba clamitans,
43,,Vila Amália,Entre Parada Pinto e Vila Amélia,,,21/12/2017,27/12/2017,NÃO NOTIFICADO,Avançado,NÃO DETERMINADO,Não tem,Não tem,Não,Não,Alouatta guariba clamitans,
44,Norte,Vila Amália,Entre Parada Pinto e Vila Amélia,"-234,598,158","-466,361,394",21/12/2017,27/12/2017,27/12/2017,Avançado,NÃO DETERMINADO,Não tem,Não tem,Não,Não,Alouatta guariba clamitans,
45,Norte,Vila Amália,Entre Parada Pinto e Vila Amélia,"-234,598,158","-466,361,394",25/12/2017,27/12/2017,27/12/2017,íntegro,POSITIVO,Positivo,Positivo,Sim,PAMB-DEPAVE,Alouatta guariba clamitans,
